,Name,Market Cap (GBP$ Billion)
0,JPMorgan Chase,286.285
1,Industrial and Commercial Bank of China,252.804
2,Bank of America,238.243
3,Wells Fargo,225.561
4,China Construction Bank,188.496
5,HSBC Holdings PLC,160.574
6,Agricultural Bank of China,148.838
7,Citigroup Inc.,148.78
8,Bank of China,132.892
9,China Merchants Bank,89.793
10,Royal Bank of Canada,89.755
11,Banco Santander,84.725
12,Commonwealth Bank,82.185
13,Mitsubishi UFJ Financial Group,81.77
14,Toronto-Dominion Bank,79.418
15,BNP Paribas,75.617
16,Goldman Sachs,73.747
17,Sberbank of Russia,73.114
18,Morgan Stanley,72.975
19,U.S. Bancorp,69.246
20,HDFC Bank,64.762
21,Itaú Unibanco,63.127
22,Westpac,61.924
23,Scotiabank,57.814
24,ING Group,57.794
25,UBS,55.276
26,Charles Schwab,54.378
27,PNC Financial Services,52.906
28,Lloyds Banking Group,52.179
29,Sumitomo Mitsui Financial Group,49.305
30,Bank of Communications,49.122
31,Australia and New Zealand Banking Group,48.661
32,Banco Bradesco,47.465
33,National Australia Bank,46.717
34,Intesa Sanpaolo,45.427
35,Banco Bilbao Vizcaya Argentaria,44.435
36,Japan Post Bank,44.323
37,The Bank of New York Mellon,43.809
38,Shanghai Pudong Development Bank,43.057
39,Industrial Bank (China),42.026
40,Bank of China (Hong Kong),40.606
41,Bank of Montreal,38.945
42,Crédit Agricole,38.183
43,DBS Bank,37.696
44,Nordea,37.483
45,Capital One,37.426
46,NatWest Group,36.974
47,Mizuho Financial Group,36.629
48,Credit Suisse,35.489
49,Postal Savings Bank of China,35.113
50,China Minsheng Bank,35.093
51,UniCredit,34.988
52,China CITIC Bank,34.749
53,Hang Seng Bank,33.811
54,Société Générale,33.724
55,Barclays,33.576
56,Canadian Imperial Bank of Commerce,31.888
57,Bank Central Asia,31.741
58,Truist Financial,30.701
59,Oversea-Chinese Banking Corp,30.29
60,State Bank of India,29.704
61,State Street,29.123
62,Deutsche Bank,28.303
63,KBC Bank,28.116
64,Danske Bank,27.991
65,Ping An Bank,27.823
66,Standard Chartered,27.329
67,United Overseas Bank,25.725
68,QNB Group,24.576
69,Bank Rakyat,24.226
